date, pm25, pm10, o3, no2, so2, co
2014-06-16, 197, 86, 70, 17, 2, 8
2014-06-17, 149, 77, 96, 20, 2, 7
2014-06-18, 142, 108, 64, 21, 3, 11
2014-06-19, 192, 62, 70, 12, 1, 6
2014-06-20, 112, 63, 80, 15, 3, 8
2014-06-21, 143, 48, 79, 17, 1, 5
2014-06-22, 94, 41, 95, 21, 1, 4
2014-06-23, 74, 74, 120, 29, 4, 7
2014-06-24, 136, 85, 61, 25, 9, 10
2014-06-25, 167, 76, 122, 17, 3, 10
2014-06-26, 192, 34, 50, 21, 1, 4
2014-06-27, 64, 45, 64, 21, 2, 3
2014-06-28, 66, 69, 122, 26, 9, 12
2014-06-29, 123, 83, 133, 28, 10, 10
2014-06-30, 155, 94, 127, 21, 19, 10
2014-07-01, 176, 73, 51, 13, 1, 8
2014-07-02, 143, 111, 72, 21, 3, 12
2014-07-03, 255, 98, 109, 25, 1, 13
2014-07-04, 259, 70, 99, 20, 1, 10
2014-07-05, 186, 75, 107, 16, 5, 13
2014-07-06, 244, 109, 105, 23, 6, 10
2014-07-07, 205, 91, 49, 23, 4, 8
2014-07-08, 146, 56, 53, 27, 1, 5
2014-07-09, 77, 66, 87, 24, 3, 5
2014-07-10, 89, 61, 61, 20, 2, 4
2014-07-11, 91, 32, 62, 17, 1, 3
2014-07-12, 49, 48, 54, 22, 1, 4
2014-07-13, 68, 62, 116, 26, 2, 5
2014-07-14, 93, 86, 104, 14, 3, 5
2014-07-15, 126, 91, 77, 25, 2, 9
2014-07-16, 180, 100, 60, 22, 3, 19
2014-07-17, 194, 94, 105, 20, 4, 15
2014-07-18, 190, 67, 80, 16, 1, 6
2014-07-19, 149, 70, 89, 14, 2, 7
2014-07-20, 150, 40, 42, 13, 2, 5
2014-07-21, 86, 27, 20, 17, 3, 4
2014-07-22, 52, 51, 32, 32, 3, 7
2014-07-23, 73, 87, 48, 39, 3, 9
2014-07-24, 145, 70, 103, 23, 4, 14
2014-07-25, 146, 91, 131, 16, 7, 11
2014-07-26, 170, 94, 131, 14, 11, 8
2014-07-27, 171, 89, 107, 13, 6, 8
2014-07-28, 175, 93, 103, 13, 3, 7
2014-07-29, 179, 95, 59, 11, 2, 13
2014-07-30, 191, 118, 108, 19, 3, 15
2014-07-31, 232, 95, 99, 15, 2, 12
2014-08-01, 196, 81, 115, 18, 2, 9
2014-08-02, 170, 88, 104, 26, 1, 10
2014-08-03, 180, 44, 24, 20, 1, 6
2014-08-04, 83, 57, 67, 16, 4, 6
2014-08-05, 67, 58, 52, 19, 1, 5
2014-08-06, 86, 75, 126, 22, 6, 11
2014-08-07, 144, 73, 120, 21, 6, 10
2014-08-08, 140, 86, 114, 22, 5, 10
2014-08-09, 156, 54, 101, 16, 1, 6
2014-08-10, 91, 59, 62, 23, 1, 5
2014-08-11, 73, 53, 98, 31, 3, 9
2014-08-12, 84, 42, 31, 15, 1, 5
2014-08-13, 82, 51, 85, 22, 2, 6
2014-08-14, 85, 104, 95, 27, 2, 6
2014-08-15, 102, 72, 72, 23, 6, 6
2014-08-16, 139, 57, 100, 16, 3, 5
2014-08-17, 116, 66, 99, 19, 3, 8
2014-08-18, 140, 78, 110, 19, 4, 9
2014-08-19, 157, 87, 116, 17, 9, 9
2014-08-20, 170, 109, 114, 23, 7, 11
2014-08-21, 188, 60, 32, 29, 2, 7
2014-08-22, 113, 104, 114, 36, 3, 12
2014-08-23, 187, 31, 48, 13, 2, 4
2014-08-24, 61, 33, 52, 18, 1, 3
2014-08-25, 56, 53, 67, 29, 2, 4
2014-08-26, 69, 77, 103, 34, 4, 6
2014-08-27, 129, 85, 63, 30, 5, 9
2014-08-28, 166, 79, 75, 17, 2, 9
2014-08-29, 164, 100, 30, 27, 2, 16
2014-08-30, 204, 67, 60, 13, 1, 10
2014-08-31, 168, 91, 43, 28, 2, 16
2014-09-01, 182, 25, 31, 13, 1, 8
2014-09-02, 81, 45, 48, 19, 3, 4
2014-09-03, 47, 67, 76, 33, 2, 8
2014-09-04, 112, 92, 112, 24, 6, 10
2014-09-05, 167, 95, 94, 23, 9, 14
2014-09-06, 191, 106, 86, 27, 8, 11
2014-09-07, 201, 42, 48, 12, 1, 4
2014-09-08, 42, 65, 88, 23, 3, 6
2014-09-09, 106, 77, 95, 28, 9, 11
2014-09-10, 143, 97, 53, 37, 12, 16
2014-09-11, 170, 62, 27, 27, 3, 7
2014-09-12, 156, 70, 81, 25, 4, 6
2014-09-13, 146, 57, 22, 28, 2, 5
2014-09-14, 110, 41, 36, 22, 2, 3
2014-09-15, 63, 73, 16, 35, 3, 4
2014-09-16, 112, 52, 24, 29, 2, 4
2014-09-17, 118, 72, 59, 34, 2, 32
2014-09-18, 145, 93, 57, 29, 4, 11
2014-09-19, 168, 97, 90, 30, 3, 17
2014-09-20, 192, 92, 52, 25, 10, 24
2014-09-21, 179, 87, 16, 33, 9, 21
2014-09-22, 176, 64, 8, 22, 1, 9
2014-09-23, 139, 37, 34, 16, 1, 9
2014-09-24, 87, 87, 26, 27, 1, 11
2014-09-25, 187, 90, 25, 29, 7, 13
2014-09-26, 198, 36, 34, 25, 1, 5
2014-09-27, 97, 90, 23, 34, 5, 11
2014-09-28, 153, 61, 30, 21, 2, 7
